Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.6369359916054564;0.5700802596611512;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.6841552990556139;0.628023273236325;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.6495278069254984;0.5900481779831309;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.6369359916054564;0.5700802596611512;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.7093389296956978;0.6420733393056346;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.6369359916054564;0.5700802596611512;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.6495278069254984;0.5900481779831309;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.6369359916054564;0.5700802596611512;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.7093389296956978;0.6420733393056346;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.6673662119622246;0.6266322460209323;{'alpha': 1.0, 'fit_prior': False}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7492130115424974;0.7100361800896144;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7355718782791185;0.6895948501889787;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7534102833158447;0.7000826882881227;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7355718782791185;0.6895948501889787;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7387198321091291;0.6900831903790348;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7387198321091291;0.6900831903790348;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7240293809024134;0.6746255309635592;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7282266526757608;0.6806910428114699;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7345225603357818;0.6852749929660599;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7439664218258132;0.6937682821962926;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.646379853095488;0.5819535783365571;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6369359916054564;0.5635046529899111;{'alpha': 0.01, 'fit_prior': False}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.646379853095488;0.5819535783365571;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6589716684155299;0.5983658323339959;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.646379853095488;0.5819535783365571;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.646379853095488;0.5819535783365571;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6589716684155299;0.5983658323339959;{'alpha': 0.5, 'fit_prior': False}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6369359916054564;0.5635046529899111;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6589716684155299;0.5983658323339959;{'alpha': 0.5, 'fit_prior': False}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.646379853095488;0.5819535783365571;{'alpha': 0.1, 'fit_prior': True}
